,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[2,3]",0.173138,0.0105459,0.238984,0.0697279,0.00322474,0.0562393,0.745772,696.233,1895.58,6.70312,1.00741
"prob_resp_class[2,4]",0.643591,0.0103679,0.28866,0.2931,0.0955484,0.725393,0.979414,918.262,2338.78,8.84075,1.00299
"prob_resp_class[3,1]",0.293317,0.00717097,0.249726,0.27485,0.00816464,0.226961,0.75548,1101.68,2987.89,10.6066,1.00165
"prob_resp_class[3,2]",0.267266,0.00699937,0.23482,0.186303,0.016513,0.18895,0.773589,1314.92,1996.19,12.6597,1.00401
"prob_resp_class[3,3]",0.215408,0.0055755,0.21339,0.167286,0.00604869,0.137208,0.669371,1218.51,2915.95,11.7314,1.00489
"prob_resp_class[3,4]",0.224009,0.00570069,0.223321,0.162675,0.00908007,0.14401,0.728071,1783.75,2433.89,17.1734,1.00079
"prob_resp_class[4,1]",0.104635,0.00237342,0.134123,0.0631986,0.00202676,0.0501195,0.407376,2740.75,5031.86,26.3871,1.00122
"prob_resp_class[4,2]",0.17612,0.00312671,0.180816,0.127258,0.0075478,0.1116,0.572819,3185.35,4609.43,30.6676,1.00132
"prob_resp_class[4,3]",0.247735,0.00421617,0.195119,0.199166,0.0190462,0.201943,0.633864,1976.79,4105.42,19.032,1.00167
"prob_resp_class[4,4]",0.47151,0.00423675,0.249192,0.294759,0.082031,0.464935,0.882586,3568.84,5169.63,34.3598,1.00156
"prob_resp_class[5,1]",0.0359044,0.00123027,0.0586927,0.0184204,0.00036737,0.0140587,0.147494,1825.85,3505.73,17.5787,1.00153
"prob_resp_class[5,2]",0.130693,0.0029356,0.144422,0.0876902,0.00578446,0.0786156,0.446217,2643.02,4055.48,25.4462,1.00217
"prob_resp_class[5,3]",0.169649,0.00595732,0.168447,0.113992,0.00911959,0.110507,0.546139,944.756,2222.52,9.09583,1.00432
"prob_resp_class[5,4]",0.663754,0.00609331,0.230202,0.253494,0.237281,0.705241,0.963785,1495.02,3986.72,14.3936,1.00105
