,R_hat
"Y_rep[36,11]",
"Y_rep[36,12]",
"Y_rep[36,13]",
"Y_rep[36,14]",
"Y_rep[36,15]",
"Y_rep[36,16]",
"Y_rep[36,17]",
"Y_rep[36,18]",
"Y_rep[36,19]",
"Y_rep[36,20]",
"Y_rep[36,21]",
"Y_rep[36,22]",
"Y_rep[36,23]",
"Y_rep[36,24]",
"Y_rep[36,25]",
"Y_rep[36,26]",
"Y_rep[36,27]",
"Y_rep[36,28]",
"Y_rep[37,1]",
"Y_rep[37,2]",
"Y_rep[37,3]",
"Y_rep[37,4]",
"Y_rep[37,5]",
"Y_rep[37,6]",
"Y_rep[37,7]",
"Y_rep[37,8]",
"Y_rep[37,9]",
"Y_rep[37,10]",
"Y_rep[37,11]",
"Y_rep[37,12]",
"Y_rep[37,13]",
"Y_rep[37,14]",
"Y_rep[37,15]",
"Y_rep[37,16]",
"Y_rep[37,17]",
"Y_rep[37,18]",
"Y_rep[37,19]",
"Y_rep[37,20]",
"Y_rep[37,21]",
"Y_rep[37,22]",
"Y_rep[37,23]",
"Y_rep[37,24]",
"Y_rep[37,25]",
"Y_rep[37,26]",
"Y_rep[37,27]",
"Y_rep[37,28]",
"Y_rep[38,1]",
"Y_rep[38,2]",
"Y_rep[38,3]",
"Y_rep[38,4]",
"Y_rep[38,5]",
"Y_rep[38,6]",
"Y_rep[38,7]",
"Y_rep[38,8]",
"Y_rep[38,9]",
"Y_rep[38,10]",
"Y_rep[38,11]",
"Y_rep[38,12]",
"Y_rep[38,13]",
"Y_rep[38,14]",
"Y_rep[38,15]",
"Y_rep[38,16]",
"Y_rep[38,17]",
"Y_rep[38,18]",
"Y_rep[38,19]",
"Y_rep[38,20]",
"Y_rep[38,21]",
"Y_rep[38,22]",
"Y_rep[38,23]",
"Y_rep[38,24]",
"Y_rep[38,25]",
"Y_rep[38,26]",
"Y_rep[38,27]",
"Y_rep[38,28]",
"Y_rep[39,1]",
"Y_rep[39,2]",
"Y_rep[39,3]",
"Y_rep[39,4]",
"Y_rep[39,5]",
"Y_rep[39,6]",
"Y_rep[39,7]",
"Y_rep[39,8]",
"Y_rep[39,9]",
"Y_rep[39,10]",
"Y_rep[39,11]",
"Y_rep[39,12]",
"Y_rep[39,13]",
"Y_rep[39,14]",
"Y_rep[39,15]",
"Y_rep[39,16]",
"Y_rep[39,17]",
"Y_rep[39,18]",
"Y_rep[39,19]",
"Y_rep[39,20]",
"Y_rep[39,21]",
"Y_rep[39,22]",
"Y_rep[39,23]",
"Y_rep[39,24]",
"Y_rep[39,25]",
"Y_rep[39,26]",
"Y_rep[39,27]",
"Y_rep[39,28]",
"Y_rep[40,1]",
"Y_rep[40,2]",
"Y_rep[40,3]",
"Y_rep[40,4]",
"Y_rep[40,5]",
"Y_rep[40,6]",
"Y_rep[40,7]",
"Y_rep[40,8]",
"Y_rep[40,9]",
"Y_rep[40,10]",
"Y_rep[40,11]",
"Y_rep[40,12]",
"Y_rep[40,13]",
"Y_rep[40,14]",
"Y_rep[40,15]",
"Y_rep[40,16]",
"Y_rep[40,17]",
"Y_rep[40,18]",
"Y_rep[40,19]",
"Y_rep[40,20]",
"Y_rep[40,21]",
"Y_rep[40,22]",
"Y_rep[40,23]",
"Y_rep[40,24]",
"Y_rep[40,25]",
"Y_rep[40,26]",
"Y_rep[40,27]",
"Y_rep[40,28]",
"Y_rep[41,1]",
"Y_rep[41,2]",
"Y_rep[41,3]",
"Y_rep[41,4]",
"Y_rep[41,5]",
"Y_rep[41,6]",
"Y_rep[41,7]",
"Y_rep[41,8]",
"Y_rep[41,9]",
"Y_rep[41,10]",
"Y_rep[41,11]",
"Y_rep[41,12]",
"Y_rep[41,13]",
"Y_rep[41,14]",
"Y_rep[41,15]",
"Y_rep[41,16]",
"Y_rep[41,17]",
"Y_rep[41,18]",
"Y_rep[41,19]",
"Y_rep[41,20]",
"Y_rep[41,21]",
"Y_rep[41,22]",
"Y_rep[41,23]",
"Y_rep[41,24]",
"Y_rep[41,25]",
"Y_rep[41,26]",
"Y_rep[41,27]",
"Y_rep[41,28]",
"Y_rep[42,1]",
"Y_rep[42,2]",
"Y_rep[42,3]",
"Y_rep[42,4]",
"Y_rep[42,5]",
"Y_rep[42,6]",
"Y_rep[42,7]",
"Y_rep[42,8]",
"Y_rep[42,9]",
"Y_rep[42,10]",
"Y_rep[42,11]",
"Y_rep[42,12]",
"Y_rep[42,13]",
"Y_rep[42,14]",
"Y_rep[42,15]",
"Y_rep[42,16]",
"Y_rep[42,17]",
"Y_rep[42,18]",
"Y_rep[42,19]",
"Y_rep[42,20]",
"Y_rep[42,21]",
"Y_rep[42,22]",
"Y_rep[42,23]",
"Y_rep[42,24]",
"Y_rep[42,25]",
"Y_rep[42,26]",
"Y_rep[42,27]",
"Y_rep[42,28]",
"Y_rep[43,1]",
"Y_rep[43,2]",
"Y_rep[43,3]",
"Y_rep[43,4]",
"Y_rep[43,5]",
"Y_rep[43,6]",
"Y_rep[43,7]",
"Y_rep[43,8]",
"Y_rep[43,9]",
"Y_rep[43,10]",
"Y_rep[43,11]",
"Y_rep[43,12]",
"Y_rep[43,13]",
"Y_rep[43,14]",
"Y_rep[43,15]",
"Y_rep[43,16]",
"Y_rep[43,17]",
"Y_rep[43,18]",
"Y_rep[43,19]",
"Y_rep[43,20]",
"Y_rep[43,21]",
"Y_rep[43,22]",
"Y_rep[43,23]",
"Y_rep[43,24]",
"Y_rep[43,25]",
"Y_rep[43,26]",
"Y_rep[43,27]",
"Y_rep[43,28]",
"Y_rep[44,1]",
"Y_rep[44,2]",
"Y_rep[44,3]",
"Y_rep[44,4]",
"Y_rep[44,5]",
"Y_rep[44,6]",
"Y_rep[44,7]",
"Y_rep[44,8]",
"Y_rep[44,9]",
"Y_rep[44,10]",
"Y_rep[44,11]",
"Y_rep[44,12]",
"Y_rep[44,13]",
"Y_rep[44,14]",
"Y_rep[44,15]",
"Y_rep[44,16]",
"Y_rep[44,17]",
"Y_rep[44,18]",
"Y_rep[44,19]",
"Y_rep[44,20]",
"Y_rep[44,21]",
"Y_rep[44,22]",
"Y_rep[44,23]",
"Y_rep[44,24]",
"Y_rep[44,25]",
"Y_rep[44,26]",
"Y_rep[44,27]",
"Y_rep[44,28]",
"Y_rep[45,1]",
"Y_rep[45,2]",
"Y_rep[45,3]",
"Y_rep[45,4]",
"Y_rep[45,5]",
"Y_rep[45,6]",
"Y_rep[45,7]",
"Y_rep[45,8]",
"Y_rep[45,9]",
"Y_rep[45,10]",
"Y_rep[45,11]",
"Y_rep[45,12]",
"Y_rep[45,13]",
"Y_rep[45,14]",
"Y_rep[45,15]",
"Y_rep[45,16]",
"Y_rep[45,17]",
"Y_rep[45,18]",
"Y_rep[45,19]",
"Y_rep[45,20]",
"Y_rep[45,21]",
"Y_rep[45,22]",
"Y_rep[45,23]",
"Y_rep[45,24]",
"Y_rep[45,25]",
"Y_rep[45,26]",
"Y_rep[45,27]",
"Y_rep[45,28]",
"Y_rep[46,1]",
"Y_rep[46,2]",
"Y_rep[46,3]",
"Y_rep[46,4]",
"Y_rep[46,5]",
"Y_rep[46,6]",
"Y_rep[46,7]",
"Y_rep[46,8]",
"Y_rep[46,9]",
"Y_rep[46,10]",
"Y_rep[46,11]",
"Y_rep[46,12]",
"Y_rep[46,13]",
"Y_rep[46,14]",
"Y_rep[46,15]",
"Y_rep[46,16]",
"Y_rep[46,17]",
"Y_rep[46,18]",
"Y_rep[46,19]",
"Y_rep[46,20]",
"Y_rep[46,21]",
"Y_rep[46,22]",
"Y_rep[46,23]",
"Y_rep[46,24]",
"Y_rep[46,25]",
"Y_rep[46,26]",
"Y_rep[46,27]",
"Y_rep[46,28]",
"Y_rep[47,1]",
"Y_rep[47,2]",
"Y_rep[47,3]",
"Y_rep[47,4]",
"Y_rep[47,5]",
"Y_rep[47,6]",
"Y_rep[47,7]",
"Y_rep[47,8]",
"Y_rep[47,9]",
"Y_rep[47,10]",
"Y_rep[47,11]",
"Y_rep[47,12]",
"Y_rep[47,13]",
"Y_rep[47,14]",
"Y_rep[47,15]",
"Y_rep[47,16]",
"Y_rep[47,17]",
"Y_rep[47,18]",
"Y_rep[47,19]",
"Y_rep[47,20]",
"Y_rep[47,21]",
"Y_rep[47,22]",
"Y_rep[47,23]",
"Y_rep[47,24]",
"Y_rep[47,25]",
"Y_rep[47,26]",
"Y_rep[47,27]",
"Y_rep[47,28]",
"Y_rep[48,1]",
"Y_rep[48,2]",
"Y_rep[48,3]",
"Y_rep[48,4]",
"Y_rep[48,5]",
"Y_rep[48,6]",
"Y_rep[48,7]",
"Y_rep[48,8]",
"Y_rep[48,9]",
"Y_rep[48,10]",
"Y_rep[48,11]",
"Y_rep[48,12]",
"Y_rep[48,13]",
"Y_rep[48,14]",
"Y_rep[48,15]",
"Y_rep[48,16]",
"Y_rep[48,17]",
"Y_rep[48,18]",
"Y_rep[48,19]",
"Y_rep[48,20]",
"Y_rep[48,21]",
"Y_rep[48,22]",
"Y_rep[48,23]",
"Y_rep[48,24]",
"Y_rep[48,25]",
"Y_rep[48,26]",
"Y_rep[48,27]",
"Y_rep[48,28]",
"Y_rep[49,1]",
"Y_rep[49,2]",
"Y_rep[49,3]",
"Y_rep[49,4]",
"Y_rep[49,5]",
"Y_rep[49,6]",
"Y_rep[49,7]",
"Y_rep[49,8]",
"Y_rep[49,9]",
"Y_rep[49,10]",
"Y_rep[49,11]",
"Y_rep[49,12]",
"Y_rep[49,13]",
"Y_rep[49,14]",
"Y_rep[49,15]",
"Y_rep[49,16]",
"Y_rep[49,17]",
"Y_rep[49,18]",
"Y_rep[49,19]",
"Y_rep[49,20]",
"Y_rep[49,21]",
"Y_rep[49,22]",
"Y_rep[49,23]",
"Y_rep[49,24]",
"Y_rep[49,25]",
"Y_rep[49,26]",
"Y_rep[49,27]",
"Y_rep[49,28]",
"Y_rep[50,1]",
"Y_rep[50,2]",
"Y_rep[50,3]",
"Y_rep[50,4]",
"Y_rep[50,5]",
"Y_rep[50,6]",
"Y_rep[50,7]",
"Y_rep[50,8]",
"Y_rep[50,9]",
"Y_rep[50,10]",
"Y_rep[50,11]",
"Y_rep[50,12]",
"Y_rep[50,13]",
"Y_rep[50,14]",
"Y_rep[50,15]",
"Y_rep[50,16]",
"Y_rep[50,17]",
"Y_rep[50,18]",
"Y_rep[50,19]",
"Y_rep[50,20]",
"Y_rep[50,21]",
"Y_rep[50,22]",
"Y_rep[50,23]",
"Y_rep[50,24]",
"Y_rep[50,25]",
"Y_rep[50,26]",
"Y_rep[50,27]",
"Y_rep[50,28]",
"Y_rep[51,1]",
"Y_rep[51,2]",
"Y_rep[51,3]",
"Y_rep[51,4]",
"Y_rep[51,5]",
"Y_rep[51,6]",
"Y_rep[51,7]",
"Y_rep[51,8]",
"Y_rep[51,9]",
"Y_rep[51,10]",
"Y_rep[51,11]",
"Y_rep[51,12]",
"Y_rep[51,13]",
"Y_rep[51,14]",
"Y_rep[51,15]",
"Y_rep[51,16]",
"Y_rep[51,17]",
"Y_rep[51,18]",
"Y_rep[51,19]",
"Y_rep[51,20]",
"Y_rep[51,21]",
"Y_rep[51,22]",
"Y_rep[51,23]",
"Y_rep[51,24]",
"Y_rep[51,25]",
"Y_rep[51,26]",
"Y_rep[51,27]",
"Y_rep[51,28]",
"Y_rep[52,1]",
"Y_rep[52,2]",
"Y_rep[52,3]",
"Y_rep[52,4]",
"Y_rep[52,5]",
"Y_rep[52,6]",
"Y_rep[52,7]",
"Y_rep[52,8]",
"Y_rep[52,9]",
"Y_rep[52,10]",
"Y_rep[52,11]",
"Y_rep[52,12]",
"Y_rep[52,13]",
"Y_rep[52,14]",
"Y_rep[52,15]",
"Y_rep[52,16]",
"Y_rep[52,17]",
"Y_rep[52,18]",
"Y_rep[52,19]",
"Y_rep[52,20]",
"Y_rep[52,21]",
"Y_rep[52,22]",
"Y_rep[52,23]",
"Y_rep[52,24]",
"Y_rep[52,25]",
"Y_rep[52,26]",
"Y_rep[52,27]",
"Y_rep[52,28]",
"Y_rep[53,1]",
"Y_rep[53,2]",
"Y_rep[53,3]",
"Y_rep[53,4]",
"Y_rep[53,5]",
"Y_rep[53,6]",
"Y_rep[53,7]",
"Y_rep[53,8]",
"Y_rep[53,9]",
"Y_rep[53,10]",
"Y_rep[53,11]",
"Y_rep[53,12]",
"Y_rep[53,13]",
"Y_rep[53,14]",
"Y_rep[53,15]",
"Y_rep[53,16]",
"Y_rep[53,17]",
"Y_rep[53,18]",
"Y_rep[53,19]",
"Y_rep[53,20]",
"Y_rep[53,21]",
"Y_rep[53,22]",
"Y_rep[53,23]",
"Y_rep[53,24]",
"Y_rep[53,25]",
"Y_rep[53,26]",
"Y_rep[53,27]",
"Y_rep[53,28]",
"Y_rep[54,1]",
"Y_rep[54,2]",
"Y_rep[54,3]",
"Y_rep[54,4]",
"Y_rep[54,5]",
"Y_rep[54,6]",
"Y_rep[54,7]",
"Y_rep[54,8]",
"Y_rep[54,9]",
"Y_rep[54,10]",
"Y_rep[54,11]",
"Y_rep[54,12]",
"Y_rep[54,13]",
"Y_rep[54,14]",
"Y_rep[54,15]",
"Y_rep[54,16]",
"Y_rep[54,17]",
"Y_rep[54,18]",
"Y_rep[54,19]",
"Y_rep[54,20]",
"Y_rep[54,21]",
"Y_rep[54,22]",
"Y_rep[54,23]",
"Y_rep[54,24]",
"Y_rep[54,25]",
"Y_rep[54,26]",
"Y_rep[54,27]",
"Y_rep[54,28]",
"Y_rep[55,1]",
"Y_rep[55,2]",
"Y_rep[55,3]",
"Y_rep[55,4]",
"Y_rep[55,5]",
"Y_rep[55,6]",
"Y_rep[55,7]",
"Y_rep[55,8]",
"Y_rep[55,9]",
"Y_rep[55,10]",
"Y_rep[55,11]",
"Y_rep[55,12]",
"Y_rep[55,13]",
"Y_rep[55,14]",
"Y_rep[55,15]",
"Y_rep[55,16]",
"Y_rep[55,17]",
"Y_rep[55,18]",
"Y_rep[55,19]",
"Y_rep[55,20]",
"Y_rep[55,21]",
"Y_rep[55,22]",
"Y_rep[55,23]",
"Y_rep[55,24]",
"Y_rep[55,25]",
"Y_rep[55,26]",
"Y_rep[55,27]",
"Y_rep[55,28]",
"Y_rep[56,1]",
"Y_rep[56,2]",
"Y_rep[56,3]",
"Y_rep[56,4]",
"Y_rep[56,5]",
"Y_rep[56,6]",
"Y_rep[56,7]",
"Y_rep[56,8]",
"Y_rep[56,9]",
"Y_rep[56,10]",
"Y_rep[56,11]",
"Y_rep[56,12]",
"Y_rep[56,13]",
"Y_rep[56,14]",
"Y_rep[56,15]",
"Y_rep[56,16]",
"Y_rep[56,17]",
"Y_rep[56,18]",
"Y_rep[56,19]",
"Y_rep[56,20]",
"Y_rep[56,21]",
"Y_rep[56,22]",
"Y_rep[56,23]",
"Y_rep[56,24]",
"Y_rep[56,25]",
"Y_rep[56,26]",
"Y_rep[56,27]",
"Y_rep[56,28]",
"Y_rep[57,1]",
"Y_rep[57,2]",
"Y_rep[57,3]",
"Y_rep[57,4]",
"Y_rep[57,5]",
"Y_rep[57,6]",
"Y_rep[57,7]",
"Y_rep[57,8]",
"Y_rep[57,9]",
"Y_rep[57,10]",
"Y_rep[57,11]",
"Y_rep[57,12]",
"Y_rep[57,13]",
"Y_rep[57,14]",
"Y_rep[57,15]",
"Y_rep[57,16]",
"Y_rep[57,17]",
"Y_rep[57,18]",
"Y_rep[57,19]",
"Y_rep[57,20]",
"Y_rep[57,21]",
"Y_rep[57,22]",
"Y_rep[57,23]",
"Y_rep[57,24]",
"Y_rep[57,25]",
"Y_rep[57,26]",
"Y_rep[57,27]",
"Y_rep[57,28]",
"Y_rep[58,1]",
"Y_rep[58,2]",
"Y_rep[58,3]",
"Y_rep[58,4]",
"Y_rep[58,5]",
"Y_rep[58,6]",
"Y_rep[58,7]",
"Y_rep[58,8]",
"Y_rep[58,9]",
"Y_rep[58,10]",
"Y_rep[58,11]",
"Y_rep[58,12]",
"Y_rep[58,13]",
"Y_rep[58,14]",
"Y_rep[58,15]",
"Y_rep[58,16]",
"Y_rep[58,17]",
"Y_rep[58,18]",
"Y_rep[58,19]",
"Y_rep[58,20]",
"Y_rep[58,21]",
"Y_rep[58,22]",
"Y_rep[58,23]",
"Y_rep[58,24]",
"Y_rep[58,25]",
"Y_rep[58,26]",
"Y_rep[58,27]",
"Y_rep[58,28]",
"Y_rep[59,1]",
"Y_rep[59,2]",
"Y_rep[59,3]",
"Y_rep[59,4]",
"Y_rep[59,5]",
"Y_rep[59,6]",
"Y_rep[59,7]",
"Y_rep[59,8]",
"Y_rep[59,9]",
"Y_rep[59,10]",
"Y_rep[59,11]",
"Y_rep[59,12]",
"Y_rep[59,13]",
"Y_rep[59,14]",
"Y_rep[59,15]",
"Y_rep[59,16]",
"Y_rep[59,17]",
"Y_rep[59,18]",
"Y_rep[59,19]",
"Y_rep[59,20]",
"Y_rep[59,21]",
"Y_rep[59,22]",
"Y_rep[59,23]",
"Y_rep[59,24]",
"Y_rep[59,25]",
"Y_rep[59,26]",
"Y_rep[59,27]",
"Y_rep[59,28]",
"Y_rep[60,1]",
"Y_rep[60,2]",
"Y_rep[60,3]",
"Y_rep[60,4]",
"Y_rep[60,5]",
"Y_rep[60,6]",
"Y_rep[60,7]",
"Y_rep[60,8]",
"Y_rep[60,9]",
"Y_rep[60,10]",
"Y_rep[60,11]",
"Y_rep[60,12]",
"Y_rep[60,13]",
"Y_rep[60,14]",
"Y_rep[60,15]",
"Y_rep[60,16]",
"Y_rep[60,17]",
"Y_rep[60,18]",
"Y_rep[60,19]",
"Y_rep[60,20]",
"Y_rep[60,21]",
"Y_rep[60,22]",
"Y_rep[60,23]",
"Y_rep[60,24]",
"Y_rep[60,25]",
"Y_rep[60,26]",
"Y_rep[60,27]",
"Y_rep[60,28]",
"Y_rep[61,1]",
"Y_rep[61,2]",
"Y_rep[61,3]",
"Y_rep[61,4]",
"Y_rep[61,5]",
"Y_rep[61,6]",
"Y_rep[61,7]",
"Y_rep[61,8]",
"Y_rep[61,9]",
"Y_rep[61,10]",
"Y_rep[61,11]",
"Y_rep[61,12]",
"Y_rep[61,13]",
"Y_rep[61,14]",
"Y_rep[61,15]",
"Y_rep[61,16]",
"Y_rep[61,17]",
"Y_rep[61,18]",
"Y_rep[61,19]",
"Y_rep[61,20]",
"Y_rep[61,21]",
"Y_rep[61,22]",
"Y_rep[61,23]",
"Y_rep[61,24]",
"Y_rep[61,25]",
"Y_rep[61,26]",
"Y_rep[61,27]",
"Y_rep[61,28]",
"Y_rep[62,1]",
"Y_rep[62,2]",
"Y_rep[62,3]",
"Y_rep[62,4]",
"Y_rep[62,5]",
"Y_rep[62,6]",
"Y_rep[62,7]",
"Y_rep[62,8]",
"Y_rep[62,9]",
"Y_rep[62,10]",
"Y_rep[62,11]",
"Y_rep[62,12]",
"Y_rep[62,13]",
"Y_rep[62,14]",
"Y_rep[62,15]",
"Y_rep[62,16]",
"Y_rep[62,17]",
"Y_rep[62,18]",
"Y_rep[62,19]",
"Y_rep[62,20]",
"Y_rep[62,21]",
"Y_rep[62,22]",
"Y_rep[62,23]",
"Y_rep[62,24]",
"Y_rep[62,25]",
"Y_rep[62,26]",
"Y_rep[62,27]",
"Y_rep[62,28]",
"Y_rep[63,1]",
"Y_rep[63,2]",
"Y_rep[63,3]",
"Y_rep[63,4]",
"Y_rep[63,5]",
"Y_rep[63,6]",
"Y_rep[63,7]",
"Y_rep[63,8]",
"Y_rep[63,9]",
"Y_rep[63,10]",
"Y_rep[63,11]",
"Y_rep[63,12]",
"Y_rep[63,13]",
"Y_rep[63,14]",
"Y_rep[63,15]",
"Y_rep[63,16]",
"Y_rep[63,17]",
"Y_rep[63,18]",
"Y_rep[63,19]",
"Y_rep[63,20]",
"Y_rep[63,21]",
"Y_rep[63,22]",
"Y_rep[63,23]",
"Y_rep[63,24]",
"Y_rep[63,25]",
"Y_rep[63,26]",
"Y_rep[63,27]",
"Y_rep[63,28]",
"Y_rep[64,1]",
"Y_rep[64,2]",
"Y_rep[64,3]",
"Y_rep[64,4]",
"Y_rep[64,5]",
"Y_rep[64,6]",
"Y_rep[64,7]",
"Y_rep[64,8]",
"Y_rep[64,9]",
"Y_rep[64,10]",
"Y_rep[64,11]",
"Y_rep[64,12]",
"Y_rep[64,13]",
"Y_rep[64,14]",
"Y_rep[64,15]",
"Y_rep[64,16]",
"Y_rep[64,17]",
"Y_rep[64,18]",
"Y_rep[64,19]",
"Y_rep[64,20]",
"Y_rep[64,21]",
"Y_rep[64,22]",
"Y_rep[64,23]",
"Y_rep[64,24]",
"Y_rep[64,25]",
"Y_rep[64,26]",
"Y_rep[64,27]",
"Y_rep[64,28]",
"Y_rep[65,1]",
"Y_rep[65,2]",
"Y_rep[65,3]",
"Y_rep[65,4]",
"Y_rep[65,5]",
"Y_rep[65,6]",
"Y_rep[65,7]",
"Y_rep[65,8]",
"Y_rep[65,9]",
"Y_rep[65,10]",
"Y_rep[65,11]",
"Y_rep[65,12]",
"Y_rep[65,13]",
"Y_rep[65,14]",
"Y_rep[65,15]",
"Y_rep[65,16]",
"Y_rep[65,17]",
"Y_rep[65,18]",
"Y_rep[65,19]",
"Y_rep[65,20]",
"Y_rep[65,21]",
"Y_rep[65,22]",
"Y_rep[65,23]",
"Y_rep[65,24]",
"Y_rep[65,25]",
"Y_rep[65,26]",
"Y_rep[65,27]",
"Y_rep[65,28]",
"Y_rep[66,1]",
"Y_rep[66,2]",
"Y_rep[66,3]",
"Y_rep[66,4]",
"Y_rep[66,5]",
"Y_rep[66,6]",
"Y_rep[66,7]",
"Y_rep[66,8]",
"Y_rep[66,9]",
"Y_rep[66,10]",
"Y_rep[66,11]",
"Y_rep[66,12]",
"Y_rep[66,13]",
"Y_rep[66,14]",
"Y_rep[66,15]",
"Y_rep[66,16]",
"Y_rep[66,17]",
"Y_rep[66,18]",
"Y_rep[66,19]",
"Y_rep[66,20]",
"Y_rep[66,21]",
"Y_rep[66,22]",
"Y_rep[66,23]",
"Y_rep[66,24]",
"Y_rep[66,25]",
"Y_rep[66,26]",
"Y_rep[66,27]",
"Y_rep[66,28]",
"Y_rep[67,1]",
"Y_rep[67,2]",
"Y_rep[67,3]",
"Y_rep[67,4]",
"Y_rep[67,5]",
"Y_rep[67,6]",
"Y_rep[67,7]",
"Y_rep[67,8]",
"Y_rep[67,9]",
"Y_rep[67,10]",
"Y_rep[67,11]",
"Y_rep[67,12]",
"Y_rep[67,13]",
"Y_rep[67,14]",
"Y_rep[67,15]",
"Y_rep[67,16]",
"Y_rep[67,17]",
"Y_rep[67,18]",
"Y_rep[67,19]",
"Y_rep[67,20]",
"Y_rep[67,21]",
"Y_rep[67,22]",
"Y_rep[67,23]",
"Y_rep[67,24]",
"Y_rep[67,25]",
"Y_rep[67,26]",
"Y_rep[67,27]",
"Y_rep[67,28]",
"Y_rep[68,1]",
"Y_rep[68,2]",
"Y_rep[68,3]",
"Y_rep[68,4]",
"Y_rep[68,5]",
"Y_rep[68,6]",
"Y_rep[68,7]",
"Y_rep[68,8]",
"Y_rep[68,9]",
"Y_rep[68,10]",
"Y_rep[68,11]",
"Y_rep[68,12]",
"Y_rep[68,13]",
"Y_rep[68,14]",
"Y_rep[68,15]",
"Y_rep[68,16]",
"Y_rep[68,17]",
"Y_rep[68,18]",
"Y_rep[68,19]",
"Y_rep[68,20]",
"Y_rep[68,21]",
"Y_rep[68,22]",
"Y_rep[68,23]",
"Y_rep[68,24]",
"Y_rep[68,25]",
"Y_rep[68,26]",
"Y_rep[68,27]",
"Y_rep[68,28]",
"Y_rep[69,1]",
"Y_rep[69,2]",
"Y_rep[69,3]",
"Y_rep[69,4]",
"Y_rep[69,5]",
"Y_rep[69,6]",
"Y_rep[69,7]",
"Y_rep[69,8]",
"Y_rep[69,9]",
"Y_rep[69,10]",
"Y_rep[69,11]",
"Y_rep[69,12]",
"Y_rep[69,13]",
"Y_rep[69,14]",
"Y_rep[69,15]",
"Y_rep[69,16]",
"Y_rep[69,17]",
"Y_rep[69,18]",
"Y_rep[69,19]",
"Y_rep[69,20]",
"Y_rep[69,21]",
"Y_rep[69,22]",
"Y_rep[69,23]",
"Y_rep[69,24]",
"Y_rep[69,25]",
"Y_rep[69,26]",
"Y_rep[69,27]",
"Y_rep[69,28]",
"Y_rep[70,1]",
"Y_rep[70,2]",
"Y_rep[70,3]",
"Y_rep[70,4]",
"Y_rep[70,5]",
"Y_rep[70,6]",
"Y_rep[70,7]",
"Y_rep[70,8]",
"Y_rep[70,9]",
"Y_rep[70,10]",
"Y_rep[70,11]",
"Y_rep[70,12]",
"Y_rep[70,13]",
"Y_rep[70,14]",
"Y_rep[70,15]",
"Y_rep[70,16]",
"Y_rep[70,17]",
"Y_rep[70,18]",
"Y_rep[70,19]",
"Y_rep[70,20]",
"Y_rep[70,21]",
"Y_rep[70,22]",
"Y_rep[70,23]",
"Y_rep[70,24]",
"Y_rep[70,25]",
"Y_rep[70,26]",
"Y_rep[70,27]",
"Y_rep[70,28]",
"Y_rep[71,1]",
"Y_rep[71,2]",
"Y_rep[71,3]",
"Y_rep[71,4]",
"Y_rep[71,5]",
"Y_rep[71,6]",
"Y_rep[71,7]",
"Y_rep[71,8]",
"Y_rep[71,9]",
"Y_rep[71,10]",
"Y_rep[71,11]",
"Y_rep[71,12]",
"Y_rep[71,13]",
"Y_rep[71,14]",
"Y_rep[71,15]",
"Y_rep[71,16]",
"Y_rep[71,17]",
"Y_rep[71,18]",
"Y_rep[71,19]",
"Y_rep[71,20]",
"Y_rep[71,21]",
"Y_rep[71,22]",
"Y_rep[71,23]",
"Y_rep[71,24]",
"Y_rep[71,25]",
"Y_rep[71,26]",
"Y_rep[71,27]",
"Y_rep[71,28]",
"Y_rep[72,1]",
"Y_rep[72,2]",
"Y_rep[72,3]",
"Y_rep[72,4]",
"Y_rep[72,5]",
"Y_rep[72,6]",
"Y_rep[72,7]",
"Y_rep[72,8]",
"Y_rep[72,9]",
"Y_rep[72,10]",
"Y_rep[72,11]",
"Y_rep[72,12]",
"Y_rep[72,13]",
"Y_rep[72,14]",
"Y_rep[72,15]",
"Y_rep[72,16]",
"Y_rep[72,17]",
"Y_rep[72,18]",
"Y_rep[72,19]",
"Y_rep[72,20]",
"Y_rep[72,21]",
"Y_rep[72,22]",
"Y_rep[72,23]",
"Y_rep[72,24]",
"Y_rep[72,25]",
"Y_rep[72,26]",
"Y_rep[72,27]",
"Y_rep[72,28]",
"Y_rep[73,1]",
"Y_rep[73,2]",
"Y_rep[73,3]",
"Y_rep[73,4]",
"Y_rep[73,5]",
"Y_rep[73,6]",
"Y_rep[73,7]",
"Y_rep[73,8]",
"Y_rep[73,9]",
"Y_rep[73,10]",
"Y_rep[73,11]",
"Y_rep[73,12]",
"Y_rep[73,13]",
"Y_rep[73,14]",
"Y_rep[73,15]",
"Y_rep[73,16]",
"Y_rep[73,17]",
"Y_rep[73,18]",
"Y_rep[73,19]",
"Y_rep[73,20]",
"Y_rep[73,21]",
"Y_rep[73,22]",
"Y_rep[73,23]",
"Y_rep[73,24]",
"Y_rep[73,25]",
"Y_rep[73,26]",
"Y_rep[73,27]",
"Y_rep[73,28]",
"Y_rep[74,1]",
"Y_rep[74,2]",
"Y_rep[74,3]",
"Y_rep[74,4]",
"Y_rep[74,5]",
"Y_rep[74,6]",
"Y_rep[74,7]",
"Y_rep[74,8]",
"Y_rep[74,9]",
"Y_rep[74,10]",
"Y_rep[74,11]",
"Y_rep[74,12]",
"Y_rep[74,13]",
"Y_rep[74,14]",
"Y_rep[74,15]",
"Y_rep[74,16]",
"Y_rep[74,17]",
"Y_rep[74,18]",
"Y_rep[74,19]",
"Y_rep[74,20]",
"Y_rep[74,21]",
"Y_rep[74,22]",
