,R_hat
beta2[198],0.999843
beta0[175],0.999843
beta1[113],0.999842
beta1[75],0.999836
beta12[18],0.999828
beta0[97],0.999825
beta2[111],0.999814
beta1[195],0.999808
beta12[113],0.999807
beta2[47],0.999806
beta12[69],0.999805
beta0[51],0.99977
beta1[86],0.999763
beta2[139],0.999759
beta0[151],0.999739
beta2[152],0.999738
beta2[180],0.999724
beta0[158],0.999716
beta2[57],0.999713
beta0[53],0.999659
"prob_resp_class[1,1]",
"prob_resp_class[1,2]",
"prob_resp_class[1,3]",
"prob_resp_class[1,4]",
"prob_resp_class[2,1]",
"prob_resp_class[2,2]",
"prob_resp_class[2,3]",
"prob_resp_class[2,4]",
"prob_resp_class[3,1]",
"prob_resp_class[3,2]",
"prob_resp_class[3,3]",
"prob_resp_class[3,4]",
"prob_resp_class[4,1]",
"prob_resp_class[4,2]",
"prob_resp_class[4,3]",
"prob_resp_class[4,4]",
"prob_resp_class[5,1]",
"prob_resp_class[5,2]",
"prob_resp_class[5,3]",
"prob_resp_class[5,4]",
"prob_resp_class[6,1]",
"prob_resp_class[6,2]",
"prob_resp_class[6,3]",
"prob_resp_class[6,4]",
"prob_resp_class[7,1]",
"prob_resp_class[7,2]",
"prob_resp_class[7,3]",
"prob_resp_class[7,4]",
"prob_resp_class[8,1]",
"prob_resp_class[8,2]",
"prob_resp_class[8,3]",
"prob_resp_class[8,4]",
"prob_resp_class[9,1]",
"prob_resp_class[9,2]",
"prob_resp_class[9,3]",
"prob_resp_class[9,4]",
"prob_resp_class[10,1]",
"prob_resp_class[10,2]",
"prob_resp_class[10,3]",
"prob_resp_class[10,4]",
"prob_resp_class[11,1]",
"prob_resp_class[11,2]",
"prob_resp_class[11,3]",
"prob_resp_class[11,4]",
"prob_resp_class[12,1]",
"prob_resp_class[12,2]",
"prob_resp_class[12,3]",
"prob_resp_class[12,4]",
"prob_resp_class[13,1]",
"prob_resp_class[13,2]",
"prob_resp_class[13,3]",
"prob_resp_class[13,4]",
"prob_resp_class[14,1]",
"prob_resp_class[14,2]",
"prob_resp_class[14,3]",
"prob_resp_class[14,4]",
"prob_resp_class[15,1]",
"prob_resp_class[15,2]",
"prob_resp_class[15,3]",
"prob_resp_class[15,4]",
"prob_resp_class[16,1]",
"prob_resp_class[16,2]",
"prob_resp_class[16,3]",
"prob_resp_class[16,4]",
"prob_resp_class[17,1]",
"prob_resp_class[17,2]",
"prob_resp_class[17,3]",
"prob_resp_class[17,4]",
"prob_resp_class[18,1]",
"prob_resp_class[18,2]",
"prob_resp_class[18,3]",
"prob_resp_class[18,4]",
"prob_resp_class[19,1]",
"prob_resp_class[19,2]",
"prob_resp_class[19,3]",
"prob_resp_class[19,4]",
"prob_resp_class[20,1]",
"prob_resp_class[20,2]",
"prob_resp_class[20,3]",
"prob_resp_class[20,4]",
"prob_resp_class[21,1]",
"prob_resp_class[21,2]",
"prob_resp_class[21,3]",
"prob_resp_class[21,4]",
"prob_resp_class[22,1]",
"prob_resp_class[22,2]",
"prob_resp_class[22,3]",
"prob_resp_class[22,4]",
"prob_resp_class[23,1]",
"prob_resp_class[23,2]",
"prob_resp_class[23,3]",
"prob_resp_class[23,4]",
"prob_resp_class[24,1]",
"prob_resp_class[24,2]",
"prob_resp_class[24,3]",
"prob_resp_class[24,4]",
"prob_resp_class[25,1]",
"prob_resp_class[25,2]",
"prob_resp_class[25,3]",
"prob_resp_class[25,4]",
"prob_resp_class[26,1]",
"prob_resp_class[26,2]",
"prob_resp_class[26,3]",
"prob_resp_class[26,4]",
"prob_resp_class[27,1]",
"prob_resp_class[27,2]",
"prob_resp_class[27,3]",
"prob_resp_class[27,4]",
"prob_resp_class[28,1]",
"prob_resp_class[28,2]",
"prob_resp_class[28,3]",
"prob_resp_class[28,4]",
"prob_resp_class[29,1]",
"prob_resp_class[29,2]",
"prob_resp_class[29,3]",
"prob_resp_class[29,4]",
"prob_resp_class[30,1]",
"prob_resp_class[30,2]",
"prob_resp_class[30,3]",
"prob_resp_class[30,4]",
"prob_resp_class[31,1]",
"prob_resp_class[31,2]",
"prob_resp_class[31,3]",
"prob_resp_class[31,4]",
"prob_resp_class[32,1]",
"prob_resp_class[32,2]",
"prob_resp_class[32,3]",
"prob_resp_class[32,4]",
"prob_resp_class[33,1]",
"prob_resp_class[33,2]",
"prob_resp_class[33,3]",
"prob_resp_class[33,4]",
"prob_resp_class[34,1]",
"prob_resp_class[34,2]",
"prob_resp_class[34,3]",
"prob_resp_class[34,4]",
"prob_resp_class[35,1]",
"prob_resp_class[35,2]",
"prob_resp_class[35,3]",
"prob_resp_class[35,4]",
"prob_resp_class[36,1]",
"prob_resp_class[36,2]",
"prob_resp_class[36,3]",
"prob_resp_class[36,4]",
"prob_resp_class[37,1]",
"prob_resp_class[37,2]",
"prob_resp_class[37,3]",
"prob_resp_class[37,4]",
"prob_resp_class[38,1]",
"prob_resp_class[38,2]",
"prob_resp_class[38,3]",
"prob_resp_class[38,4]",
"prob_resp_class[39,1]",
"prob_resp_class[39,2]",
"prob_resp_class[39,3]",
"prob_resp_class[39,4]",
"prob_resp_class[40,1]",
"prob_resp_class[40,2]",
"prob_resp_class[40,3]",
"prob_resp_class[40,4]",
"prob_resp_class[41,1]",
"prob_resp_class[41,2]",
"prob_resp_class[41,3]",
"prob_resp_class[41,4]",
"prob_resp_class[42,1]",
"prob_resp_class[42,2]",
"prob_resp_class[42,3]",
"prob_resp_class[42,4]",
"prob_resp_class[43,1]",
"prob_resp_class[43,2]",
"prob_resp_class[43,3]",
"prob_resp_class[43,4]",
"prob_resp_class[44,1]",
"prob_resp_class[44,2]",
"prob_resp_class[44,3]",
"prob_resp_class[44,4]",
"prob_resp_class[45,1]",
"prob_resp_class[45,2]",
"prob_resp_class[45,3]",
"prob_resp_class[45,4]",
"prob_resp_class[46,1]",
"prob_resp_class[46,2]",
"prob_resp_class[46,3]",
"prob_resp_class[46,4]",
"prob_resp_class[47,1]",
"prob_resp_class[47,2]",
"prob_resp_class[47,3]",
"prob_resp_class[47,4]",
"prob_resp_class[48,1]",
"prob_resp_class[48,2]",
"prob_resp_class[48,3]",
"prob_resp_class[48,4]",
"prob_resp_class[49,1]",
"prob_resp_class[49,2]",
"prob_resp_class[49,3]",
"prob_resp_class[49,4]",
"prob_resp_class[50,1]",
"prob_resp_class[50,2]",
"prob_resp_class[50,3]",
"prob_resp_class[50,4]",
"prob_resp_class[51,1]",
"prob_resp_class[51,2]",
"prob_resp_class[51,3]",
"prob_resp_class[51,4]",
"prob_resp_class[52,1]",
"prob_resp_class[52,2]",
"prob_resp_class[52,3]",
"prob_resp_class[52,4]",
"prob_resp_class[53,1]",
"prob_resp_class[53,2]",
"prob_resp_class[53,3]",
"prob_resp_class[53,4]",
"prob_resp_class[54,1]",
"prob_resp_class[54,2]",
"prob_resp_class[54,3]",
"prob_resp_class[54,4]",
