,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[61,4]",0.00759572,6.39496e-05,0.00558519,0.00448727,0.00138682,0.00626583,0.0182297,6209.52,3907.95,29.2163,1.00013
"prob_resp_class[61,5]",0.00517806,6.54978e-05,0.00605016,0.0034277,0.000236654,0.00323679,0.016252,6911.42,4457.26,32.5188,0.999886
"prob_resp_class[61,6]",0.00309361,4.07554e-05,0.00326311,0.0020888,0.000176988,0.00206781,0.0094502,5880.99,4262.28,27.6705,1.00024
"prob_resp_class[61,7]",0.00524402,6.67848e-05,0.00626582,0.00342246,0.000245704,0.00321234,0.0169916,7568.54,4664.44,35.6106,1.00103
"prob_resp_class[61,8]",0.00305488,4.10085e-05,0.003309,0.00206527,0.000161122,0.00206407,0.00911364,5937.56,4680.6,27.9367,1.00022
"prob_resp_class[62,1]",0.0234864,0.000227414,0.0190716,0.0128073,0.00478997,0.0182336,0.0587418,7803.47,6221.11,36.716,1.00015
"prob_resp_class[62,2]",0.026809,0.000376836,0.0315097,0.0177042,0.00105472,0.0162554,0.0878162,5301.15,3640.27,24.9424,1.00015
"prob_resp_class[62,3]",0.00343558,4.39204e-05,0.00355311,0.00224803,0.000242807,0.00240583,0.0101434,5295.98,3482.73,24.918,0.999987
"prob_resp_class[62,4]",0.0409027,0.000375438,0.0310581,0.0238229,0.00719393,0.0331287,0.100592,5816.02,4108.03,27.3649,1.00016
"prob_resp_class[62,5]",0.00378683,4.41709e-05,0.00417138,0.00251179,0.000183404,0.00243993,0.0119426,7151.99,3813.18,33.6507,0.999805
"prob_resp_class[62,6]",0.449286,0.00328766,0.263554,0.338061,0.0437638,0.443376,0.86836,5389.88,3781.36,25.3598,1.00035
"prob_resp_class[62,7]",0.00382434,4.23899e-05,0.00429777,0.00257567,0.000183718,0.00246938,0.011969,8094.11,4437.66,38.0835,1.00081
"prob_resp_class[62,8]",0.448469,0.00328175,0.264477,0.336263,0.0381269,0.447382,0.863849,5722.12,4399.91,26.923,1.00018
"prob_resp_class[63,1]",0.237272,0.0015417,0.13469,0.127357,0.0634347,0.210484,0.501151,7521.28,5770.18,35.3883,1.00025
"prob_resp_class[63,2]",0.0215959,0.000321145,0.0260996,0.0142157,0.000803188,0.0130576,0.0708279,4937.05,3717.07,23.2292,1.00085
"prob_resp_class[63,3]",0.264421,0.00215115,0.163653,0.174506,0.0321424,0.245464,0.562789,5061.43,3579.99,23.8145,1.0002
