,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"pi[5,2]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
"pi[5,3]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
"pi[5,4]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
"pi[5,5]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
"pi[5,6]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
"pi[5,7]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
"pi[5,8]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
"pi[6,1]",0.200889,0.000684476,0.0810191,0.0801916,0.0837773,0.191175,0.349141,13532.3,5347.08,1901.94,1.0007
"pi[6,2]",0.200889,0.000684476,0.0810191,0.0801916,0.0837773,0.191175,0.349141,13532.3,5347.08,1901.94,1.0007
"pi[6,3]",0.200889,0.000684476,0.0810191,0.0801916,0.0837773,0.191175,0.349141,13532.3,5347.08,1901.94,1.0007
"pi[6,4]",0.200889,0.000684476,0.0810191,0.0801916,0.0837773,0.191175,0.349141,13532.3,5347.08,1901.94,1.0007
"pi[6,5]",0.799383,0.000704878,0.079201,0.0794045,0.656219,0.807392,0.914926,12245.6,5110.6,1721.09,1.00068
"pi[6,6]",0.799383,0.000704878,0.079201,0.0794045,0.656219,0.807392,0.914926,12245.6,5110.6,1721.09,1.00068
"pi[6,7]",0.799383,0.000704878,0.079201,0.0794045,0.656219,0.807392,0.914926,12245.6,5110.6,1721.09,1.00068
"pi[6,8]",0.799383,0.000704878,0.079201,0.0794045,0.656219,0.807392,0.914926,12245.6,5110.6,1721.09,1.00068
"pi[7,1]",0.199856,0.000726897,0.0791453,0.0775694,0.0844894,0.191177,0.342926,11200.4,5602.03,1574.2,1.00102
"pi[7,2]",0.800168,0.000720355,0.0782971,0.0774399,0.659567,0.807594,0.915243,11364.8,5118.44,1597.3,1.00141
"pi[7,3]",0.199856,0.000726897,0.0791453,0.0775694,0.0844894,0.191177,0.342926,11200.4,5602.03,1574.2,1.00102
"pi[7,4]",0.800168,0.000720355,0.0782971,0.0774399,0.659567,0.807594,0.915243,11364.8,5118.44,1597.3,1.00141
"pi[7,5]",0.199856,0.000726897,0.0791453,0.0775694,0.0844894,0.191177,0.342926,11200.4,5602.03,1574.2,1.00102
"pi[7,6]",0.800168,0.000720355,0.0782971,0.0774399,0.659567,0.807594,0.915243,11364.8,5118.44,1597.3,1.00141
"pi[7,7]",0.199856,0.000726897,0.0791453,0.0775694,0.0844894,0.191177,0.342926,11200.4,5602.03,1574.2,1.00102
"pi[7,8]",0.800168,0.000720355,0.0782971,0.0774399,0.659567,0.807594,0.915243,11364.8,5118.44,1597.3,1.00141
log_nu[1],-2.59904,0.0160224,1.23538,1.06209,-4.92888,-2.36657,-1.04502,9041.34,4096.74,1270.74,1.00115
log_nu[2],-2.58357,0.0153957,1.23194,1.08542,-4.8706,-2.35439,-1.04158,10257.8,4981.19,1441.72,1.00031
log_nu[3],-2.58259,0.0148274,1.20885,1.07013,-4.87511,-2.35523,-1.0457,9160.16,4670.15,1287.44,0.999929
